PhoneNumber,CallDuration,IsSpam,CallFrequency
8009303572,8,spam,9
+91121083639,342,nospam,1
+1216740004,134,nospam,1
+1219644755,132,nospam,2
+91801287155,61,nospam,1
+91121287610,560,nospam,1
+91992581233,26,spam,4
+91804945212,226,nospam,1
+91127590593,586,nospam,1
+91809270894,570,nospam,3
+44753893273,431,nospam,3
+91998535082,28,spam,4
+91993357482,12,spam,4
+44703759945,18,spam,5
+1213100788,231,nospam,1
1409625826,15,spam,2
+91996039337,27,spam,5
1407003628,14,spam,9
+91122486492,235,nospam,3
8009213700,11,spam,10
+1210095909,307,nospam,1
+1210038224,236,nospam,2
+91809036786,277,nospam,2
1400571891,28,spam,2
+91124497037,568,nospam,1
+91120284828,515,nospam,2
+1214240415,298,nospam,1
+91127316534,117,nospam,2
+44756383883,173,nospam,3
8005872069,27,spam,5
+91129321064,567,nospam,3
1404659461,13,spam,8
+91999192103,16,spam,5
+91992948890,16,spam,5
+91808059253,220,nospam,1
+91125817696,475,nospam,2
+91125340109,582,nospam,3
8009365601,28,spam,8
+1211646900,97,nospam,2
18004761094,22,spam,9
1402346827,5,spam,5
+44754298209,516,nospam,1
+1210422817,366,nospam,1
+91123502992,115,nospam,2
+91129824006,302,nospam,1
+44756881681,218,nospam,1
+91809374152,142,nospam,2
1403037676,19,spam,10
+91809636003,436,nospam,2
+91804494283,313,nospam,2
+1210425996,525,nospam,2
18008823190,23,spam,8
+91126867450,420,nospam,2
1407005298,21,spam,8
+1212813989,223,nospam,1
+44753165252,162,nospam,1
18002559747,25,spam,4
+44704530806,20,spam,9
+91127839762,276,nospam,1
+44755921661,105,nospam,2
+1216971310,530,nospam,3
+44752571341,501,nospam,1
+91805569204,221,nospam,3
18004132339,15,spam,9
+91125771334,461,nospam,1
+1215780600,407,nospam,1
+44752850294,212,nospam,3
+91128342139,198,nospam,1
18009344004,23,spam,6
+91121438811,264,nospam,3
+91809648834,514,nospam,1
18009867533,17,spam,5
+1216447734,297,nospam,1
+44702506589,5,spam,6
+1211270284,388,nospam,1
18004450833,30,spam,10
+91808506183,387,nospam,3
+91804281364,554,nospam,3
+91805568917,472,nospam,3
1400104044,17,spam,3
+91807469610,205,nospam,3
+91122304939,272,nospam,2
18003116948,17,spam,4
+91804931925,298,nospam,1
+44759101777,114,nospam,3
+91809426368,291,nospam,1
+91125725395,369,nospam,3
+91122805907,234,nospam,2
+1210665480,564,nospam,3
+91120722200,461,nospam,1
+91124003285,504,nospam,2
+44701248610,26,spam,9
+44704453715,30,spam,5
+91127609612,224,nospam,1
+91996158210,14,spam,2
8002323856,9,spam,10
+44754383156,445,nospam,1
+44752514270,464,nospam,1
+91127472385,387,nospam,2
+91807091799,243,nospam,2
+44759279944,443,nospam,2
1401211382,28,spam,6
+91128973775,304,nospam,1
+91121068642,358,nospam,1
1406803376,10,spam,8
+91124025977,519,nospam,2
+91804425085,205,nospam,3
+91801286417,425,nospam,2
+1217664132,503,nospam,2
+44703353797,23,spam,10
+44707241251,23,spam,7
+1214803004,378,nospam,2
+1217203087,259,nospam,3
+1217912843,525,nospam,3
+44759207889,147,nospam,2
+1214220960,413,nospam,3
8005822300,14,spam,5
+91809097034,168,nospam,1
8006042180,6,spam,10
+91121249749,389,nospam,3
8004330731,13,spam,4
1404830309,12,spam,10
+91802621343,332,nospam,1
+91804091467,225,nospam,2
+91802697426,311,nospam,3
+1217947759,281,nospam,3
+44750472625,238,nospam,3
+91801001061,170,nospam,2
+91802166461,133,nospam,1
+91801478829,226,nospam,3
+44757632720,440,nospam,1
+91809030471,183,nospam,2
8004250343,19,spam,3
+91991012920,16,spam,9
+1217206059,229,nospam,1
+44753019096,210,nospam,2
+91124697830,143,nospam,3
18009177336,21,spam,9
8007977447,21,spam,10
+1218907031,564,nospam,2
1401264573,18,spam,5
+44700176723,23,spam,6
+44757488691,432,nospam,3
+44755342438,484,nospam,2
+44707988900,20,spam,9
+91122182892,553,nospam,2
+44753325661,530,nospam,2
+91124763934,265,nospam,1
+44706249943,7,spam,3
+1215466831,135,nospam,1
1404337339,6,spam,4
+91125459657,486,nospam,1
18003337870,19,spam,9
+44700567137,26,spam,2
+91991139356,23,spam,4
+91809963453,559,nospam,1
+44752947371,498,nospam,1
+91997618303,12,spam,6
18003035736,18,spam,6
+91124681234,550,nospam,1
